id,color_id,thumbnail_url,,,,
1,1,https://www.configurator.maserati.com/cc/adm/repo/8578300/CRPT/CRPT/94084217/menu_icon.jpg,,,,
2,12,https://www.configurator.maserati.com/cc/adm/repo/8578300/CRPT/CRPT/94084220/menu_icon.jpg,,,,
3,35,https://www.configurator.maserati.com/cc/adm/repo/8578300/CRPT/CRPT/94084305/menu_icon.jpg,,,,
