id,color_id,thumbnail_url,,
1,1,https://www.configurator.maserati.com/cc/adm/repo/8578300/STEERINGWHEEL/STL1/94084213/menu_icon.jpg,,
2,12,https://www.configurator.maserati.com/cc/adm/repo/8578300/STEERINGWHEEL/STL1/94084221/menu_icon.jpg,,
3,13,https://www.configurator.maserati.com/cc/adm/repo/8578300/STEERINGWHEEL/STL1/94084214/menu_icon.jpg,,
